Starting Animation ...
Scene: 0
Starting ...
Color management: using fallback mode for management
Fra:1 Mem:9.06M (9.89M, Peak 18.95M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 90/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 91/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 92/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 93/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 94/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 95/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 96/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 97/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 98/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 99/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 100/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 101/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 102/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 103/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 104/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 105/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 106/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 107/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 108/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 109/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 110/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 111/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 112/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 113/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 114/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 115/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 116/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 117/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 118/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 119/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 120/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 121/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 122/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 123/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 124/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 125/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 126/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 127/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.48M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 128/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.40M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 129/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 130/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 131/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 132/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 133/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 134/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:2.32M, Peak:2.48M | Scene, RenderLayer | Path Tracing Tile 135/135
Fra:1 Mem:9.07M (9.89M, Peak 19.95M) | Mem:1.35M, Peak:2.48M | Scene, RenderLayer | Finished
Fra:1 Mem:9.05M (9.89M, Peak 19.95M) Sce: Scene Ve:0 Fa:0 La:0
Saved: blendedFiles/elbow/blended_0.png Time: 00:04.92 (Saving: 00:00.07)

read blend: /home/ubuntu/alvaro/blender/blenderRender_v1_1/sceneOptions.txt
Error: Failed to read blend file '/home/ubuntu/alvaro/blender/blenderRender_v1_1/sceneOptions.txt', not a blend file
Deleting the following default objects:
CAMERA
MESH
LAMP
[0.8, 0.8, 0.8]
Render x3dFiles/elbow/0_solo.x3d


Imported items:

Object 1
Type: MESH
Previous default name: ShapeIndexedFaceSet
Current default name: Mesh1
Object 2
Type: LAMP
Previous default name: TODO
Current default name: Lamp1
Object 3
Type: LAMP
Previous default name: TODO.001
Current default name: Lamp2
Object 4
Type: LAMP
Previous default name: TODO.002
Current default name: Lamp3
Object 5
Type: LAMP
Previous default name: TODO.003
Current default name: Lamp4
Object 6
Type: LAMP
Previous default name: TODO.004
Current default name: Lamp5
Object 7
Type: CAMERA
Deleted: Viewpoint
Mesh1 ---> Material: water
Render x3dFiles/elbow/0_body.x3d


Imported items:

Object 7
Type: MESH
Previous default name: ShapeIndexedFaceSet
Current default name: Mesh2
Object 8
Type: LAMP
Previous default name: TODO
Current default name: Lamp6
Object 9
Type: LAMP
Previous default name: TODO.001
Current default name: Lamp7
Object 10
Type: LAMP
Previous default name: TODO.002
Current default name: Lamp8
Object 11
Type: LAMP
Previous default name: TODO.003
Current default name: Lamp9
Object 12
Type: LAMP
Previous default name: TODO.004
Current default name: Lamp10
Object 13
Type: CAMERA
Deleted: Viewpoint
Mesh2 ---> Material: glass

Blender quit
Completed ...
----------------------
Scene: 1
Starting ...
Color management: using fallback mode for management
Fra:1 Mem:9.01M (9.89M, Peak 18.89M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:1 Mem:9.01M (9.89M, Peak 18.89M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Mesh2
Fra:1 Mem:9.01M (9.89M, Peak 19.11M) | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp10
